epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,102.183,1.11816,1.19942,1.74408,0.76099,0.82835,0.91489,0.6514,1.08914,0.96754,1.86615,0.0087625,0.0087625,0.0087625
127,102.877,1.05762,1.12239,1.68235,0.80964,0.844,0.93921,0.70834,0.96753,0.92971,1.65666,0.0087526,0.0087526,0.0087526
128,103.608,1.0313,1.07921,1.67835,0.92218,0.94729,0.97738,0.73272,0.9701,0.76316,1.69164,0.0087427,0.0087427,0.0087427
129,104.324,1.05923,1.14431,1.68595,0.92682,0.89011,0.96538,0.72889,0.93948,0.82338,1.64608,0.0087328,0.0087328,0.0087328
130,104.997,1.11865,1.20033,1.72979,0.63653,0.93736,0.8127,0.60712,0.99251,1.03469,1.71005,0.0087229,0.0087229,0.0087229
131,105.894,1.07471,1.13573,1.6986,0.60598,0.80556,0.70061,0.48992,1.0638,1.37403,1.83868,0.008713,0.008713,0.008713
132,106.794,1.12365,1.15369,1.71926,0.6353,0.81246,0.71166,0.51442,0.98346,1.33566,1.68013,0.0087031,0.0087031,0.0087031
133,107.73,1.07373,1.10084,1.71818,0.62788,0.84819,0.78687,0.52836,1.20317,1.65709,2.04348,0.0086932,0.0086932,0.0086932
134,108.795,1.06623,1.12092,1.70243,0.77922,0.93388,0.93407,0.70887,0.95407,0.91228,1.67117,0.0086833,0.0086833,0.0086833
135,109.912,1.02039,1.05119,1.66502,0.86252,0.91667,0.94328,0.73537,0.90327,0.75634,1.62535,0.0086734,0.0086734,0.0086734
136,111.069,1.03454,1.0733,1.65233,0.80749,0.88194,0.86193,0.64051,0.99685,0.92981,1.80619,0.0086635,0.0086635,0.0086635
137,112.132,1.05304,1.16862,1.70872,0.58839,0.95482,0.78002,0.56654,1.03339,0.97579,1.78977,0.0086536,0.0086536,0.0086536
138,113.372,1.023,1.0358,1.68277,0.70729,0.92515,0.87839,0.57338,1.2571,1.00286,1.99593,0.0086437,0.0086437,0.0086437
139,114.512,1.09383,1.14472,1.73896,0.52124,0.85606,0.75019,0.52952,1.11534,1.38166,1.90617,0.0086338,0.0086338,0.0086338
140,115.723,1.01928,1.0603,1.6243,0.64828,0.88068,0.83692,0.6296,0.97755,1.01927,1.70431,0.0086239,0.0086239,0.0086239
141,116.877,1.09008,1.13602,1.69403,0.90946,0.87001,0.9472,0.71083,0.91062,0.82211,1.68227,0.008614,0.008614,0.008614
142,118.321,1.03954,1.08392,1.66822,0.85188,0.84392,0.90852,0.69363,0.95001,0.82783,1.71357,0.0086041,0.0086041,0.0086041
143,119.433,1.07585,1.13267,1.70369,0.61755,0.73576,0.71928,0.55775,0.88879,1.41814,1.64243,0.0085942,0.0085942,0.0085942
144,120.665,1.04515,1.05241,1.64986,0.7818,0.97297,0.94165,0.70396,0.94991,0.77678,1.67863,0.0085843,0.0085843,0.0085843
145,121.864,1.03258,1.0814,1.67676,0.68501,0.90223,0.90987,0.68079,0.96718,0.85121,1.71575,0.0085744,0.0085744,0.0085744
146,123.047,1.06381,1.06067,1.69815,0.69623,0.82987,0.86343,0.64382,0.93235,0.96132,1.63891,0.0085645,0.0085645,0.0085645
147,124.189,1.03856,1.04631,1.63174,0.57587,0.90163,0.81133,0.58672,0.95763,1.07704,1.66692,0.0085546,0.0085546,0.0085546
148,125.238,1.00935,1.0128,1.63294,0.50172,0.93939,0.77681,0.58323,0.94067,1.21127,1.72078,0.0085447,0.0085447,0.0085447
149,126.233,1.02301,1.03362,1.65237,0.55179,0.9116,0.7171,0.52818,0.99871,1.276,1.81646,0.0085348,0.0085348,0.0085348
150,127.413,1.0984,0.99295,1.69705,0.92687,0.9131,0.97895,0.74034,0.93156,0.62726,1.65722,0.0085249,0.0085249,0.0085249
151,128.38,1.05364,1.05295,1.68022,0.79091,0.95833,0.95527,0.7173,0.99941,0.71916,1.71366,0.008515,0.008515,0.008515
152,129.787,1.03129,1.00194,1.65765,0.90512,0.92361,0.96922,0.7004,1.01732,0.69083,1.71953,0.0085051,0.0085051,0.0085051
153,130.926,0.98366,0.99138,1.64022,0.92259,0.97222,0.98729,0.7203,1.04296,0.66423,1.77628,0.0084952,0.0084952,0.0084952
154,131.921,0.99008,1.00456,1.65163,0.91321,0.8948,0.98247,0.71824,1.03505,0.68423,1.86612,0.0084853,0.0084853,0.0084853
155,132.587,1.07903,1.03508,1.68616,0.80682,0.97917,0.99278,0.75577,0.9207,0.68865,1.66446,0.0084754,0.0084754,0.0084754
156,133.311,1.05628,1.05444,1.70055,0.89706,0.99529,0.98882,0.75001,0.92572,0.61889,1.6543,0.0084655,0.0084655,0.0084655
157,133.983,1.02183,1.00591,1.6668,0.97298,0.91579,0.99382,0.75373,0.92074,0.64524,1.65259,0.0084556,0.0084556,0.0084556
158,134.663,1.03133,1.07533,1.63157,0.96162,0.88598,0.97542,0.68616,1.05555,0.75319,1.86482,0.0084457,0.0084457,0.0084457
159,135.307,1.04118,0.98501,1.68571,0.91545,0.92116,0.96907,0.70268,1.04147,0.67958,1.82107,0.0084358,0.0084358,0.0084358
160,135.975,1.02613,1.03935,1.65261,0.85756,0.8516,0.95067,0.72322,0.92327,0.73877,1.64353,0.0084259,0.0084259,0.0084259
161,136.629,0.98165,1.00631,1.64092,0.8219,0.90051,0.93301,0.69854,0.9343,0.70324,1.68003,0.008416,0.008416,0.008416
162,137.443,0.97321,0.91255,1.58824,0.92419,0.91651,0.98331,0.74548,0.99087,0.6702,1.72158,0.0084061,0.0084061,0.0084061
163,138.104,1.03959,0.94076,1.60354,0.81781,0.95004,0.95579,0.73572,0.89527,0.64658,1.58518,0.0083962,0.0083962,0.0083962
164,138.751,0.95599,0.93939,1.63357,0.92808,0.89104,0.96571,0.71755,1.04011,0.63989,1.80968,0.0083863,0.0083863,0.0083863
165,139.399,0.98216,0.91733,1.62835,0.87502,0.89554,0.94197,0.69634,1.05606,0.70813,1.79625,0.0083764,0.0083764,0.0083764
166,140.08,0.98529,0.90611,1.62957,0.90295,0.97934,0.98899,0.76076,0.94885,0.60865,1.67263,0.0083665,0.0083665,0.0083665
167,140.725,1.00685,0.88025,1.64005,0.92767,0.99083,0.99184,0.75146,0.93882,0.56581,1.698,0.0083566,0.0083566,0.0083566
168,141.398,0.98916,0.9493,1.60455,0.88093,0.90972,0.95985,0.73946,0.94376,0.69748,1.73174,0.0083467,0.0083467,0.0083467
